stt,course_id,name_vi,name_en,is_open,managed_by,course_type,old_code,equivalent_ids,prerequisite_ids,prior_ids,credits_lt,credits_th
603,IS345,AI trong y tế,AI in Healthcare,,HTTT,CN,,,,,3,0
604,IS346,Quản lý dự án công nghệ thông tin y tế,Healthcare Information Technology Project Management,,HTTT,CN,,,,,2,1
605,IS347,Thống kê y học,Medical Statistics,,HTTT,CN,,,,,3,0
606,IS348,Dịch tễ học,Epidemiology,,HTTT,CN,,,,,2,1
607,IS349,Hệ thống y tế,Health Systems,,HTTT,CN,,,,IT004,3,0
608,IS351,Phân tích không gian,Spatial Analysis,,HTTT,CN,IS302,,,IS251,3,1
609,IS352,Hệ cơ sở dữ liệu không gian,Spatial Database Systems,,HTTT,CN,IS303,,,IT004IS251,3,1
610,IS353,Mạng xã hội,Social Networks,,HTTT,CĐTN,,,,IT004MA004,3,0
611,IS354,Công nghệ tài chính căn bản Fintech,Introduction to Financial Technology,,HTTT,CN,,,,,3,0
612,IS355,Công nghệ Blockchain,Blockchain Technology,,HTTT,CN,,,,IT005IT004,3,1
613,IS356,Agile IT với DevOps,Agile IT with DevOps,,HTTT,CN,,,,,3,0
614,IS357,Kiến trúc hướng dịch vụ,Service Oriented Architecture,,HTTT,CN,,,,,3,0
615,IS358,Kiểm soát nhiễm khuẩn bệnh viện,Hospital Infection Control,,HTTT,CN,,,,,3,0
616,IS360,Quản lý chăm sóc và điều trị,Care Management and Treatment,,HTTT,CN,,,,,3,0
617,IS361,Quản lý chuỗi cung ứng dược và thiết bị y tế,Supply Management of Drugs and Medical Equipment,,HTTT,CN,,,,,3,0
618,IS362,Quản trị tài chính và bảo hiểm y tế,Hospital Financial Management and Health Insurance,,HTTT,CN,,,,,3,0
619,IS363,Pháp luật trong lĩnh vực y tế,Law on Health and Medical,,HTTT,CN,,,,,2,0
620,IS364,Mã tiêu chuẩn dùng chung trong y tế,Medical Coding,,HTTT,CN,,,,,3,0
621,IS401,Khóa luận tốt nghiệp,Thesis,,HTTT,KLTN,,,,,10,0
622,IS4013,"Thiết kế, quản lý và quản trị hệ CSDL","DBM design, management & administration",,HTTT,CN,,,,,3,0
623,IS402,Điện toán đám mây,Cloud Computing,,HTTT,CĐTN,,,,IT005IT007,3,0
624,IS403,Phân tích dữ liệu kinh doanh,Data Analysis in Business,,HTTT,CN,,,,MA005IT004,3,0
625,IS404,Kho dữ liệu và OLAP,Data Warehouse and OLAP,,HTTT,CĐTN,IS304,IS217,,,3,1
626,IS405,Dữ liệu lớn,Big Data,,HTTT,CĐTN,,,,IT004,3,1
627,IS406,Điện toán đám mây và dữ liệu lớn,Cloud Computing and Big Data,,HTTT,CN,,,,,3,0
628,IS407,Đồ án tốt nghiệp,Capstone Project,,HTTT,CN,,,,,6,0
629,IS4133,Công nghệ thông tin cho thương mại điện tử,Information Technologies for e-commerce,,HTTT,CN,,,,,3,0
630,IS4263,Các ứng dụng thông minh và hỗ trợ ra quyết định,Decision Support and Busi.Intelligence Applications,,HTTT,CN,,,,,3,0
631,IS4523,Hệ truyền thông dữ liệu,Data Communication Systems,,HTTT,CN,,,,,3,0
632,IS501,Thực tập cuối khóa,Internship,,HTTT,TTTN,,IS212,,,3,0
633,IS502,Thực tập doanh nghiệp,Internship,,HTTT,TTTN,,,,,2,0
634,IS503,Đồ án tốt nghiệp tại doanh nghiệp,Industry Capstone Project,,HTTT,CN,,,,,10,0
635,IS505,Khóa luận tốt nghiệp,Thesis,,HTTT,KLTN,IS401,IS401,,,10,0
636,IS5100,Thực tập cuối khóa,Internship,,HTTT,TT,,,,,4,0
637,IS6301,Phân tích thiết kế hệ thống thông tin nâng cao,Advanced Information Systems Analysis and Design,,HTTT,CN,,,,,4,3
638,IT001,Nhập môn lập trình,Introduction to Programming,,KHMT,ĐC,,IT011,,,3,1
639,IT002,Lập trình hướng đối tượng,Object-Oriented Programming,,CNPM,CSNN,OOPT1,,,IT001,3,1
640,IT003,Cấu trúc dữ liệu và giải thuật,Data Structures and Algorithms,,KHMT,CSNN,DSAL1,IT013,,IT001,3,1
641,IT004,Cơ sở dữ liệu,Databases,,HTTT,CSNN,,,,,3,1
